per,player,salary,team
9.3,Tyler Dorsey,815615,ATL
13,Tyler Cavanaugh,679919,ATL
12.3,Taurean Waller-Prince,2422560,ATL
-4.6,Nicolas Brussino,1312611,ATL
10.7,Miles Plumlee,12500000,ATL
14.6,Mike Muscala,5000000,ATL
14.1,Marco Belinelli,6306060,ATL
10.7,Malcolm Delaney,2500000,ATL
14.5,Kent Bazemore,16910113,ATL
18.4,John Collins,1936920,ATL
10.4,Jeremy Evans,50000,ATL
6.9,Jaylen Morris,92160,ATL
11.2,Isaiah Taylor,1312611,ATL
15.1,Ersan Ilyasova,6000000,ATL
15.7,Dewayne Dedmon,6000000,ATL
17.3,Dennis Schroder,15500000,ATL
6.2,DeAndre' Bembry,1567200,ATL
7.3,Antonius Cleveland,92160,ATL
15.4,Terry Rozier,1988520,BOS
10.2,Shane Larkin,1524305,BOS
4,Semi Ojeleye,1291892,BOS
10.8,Marcus Smart,4538020,BOS
14.8,Marcus Morris,5000000,BOS
25.1,Kyrie Irving,18868625,BOS
15.1,Jayson Tatum,5645400,BOS
13.3,Jaylen Brown,4956480,BOS
4,Jarell Eddie,83129,BOS
10.5,Guerschon Yabusele,2247480,BOS
21,Greg Monroe,5000000,BOS
7.4,Gordon Hayward,29727900,BOS
16.2,Daniel Theis,815615,BOS
11.7,Aron Baynes,4328000,BOS
17.5,Al Horford,27734405,BOS
5.7,Abdel Nader,1167333,BOS
10.2,Timofey Mozgov,15280000,BRK
16,Spencer Dinwiddie,1524305,BRK
5,Sean Kilpatrick,1524305,BRK
17.3,Rondae Hollis-Jefferson,1471382,BRK
7.5,Quincy Acy,1709538,BRK
10,Nik Stauskas,3807146,BRK
13,Joe Harris,1524305,BRK
16,Jeremy Lin,12000000,BRK
17.6,Jarrett Allen,1713720,BRK
15.9,Jahlil Okafor,4995120,BRK
11.6,Isaiah Whitehead,1312611,BRK
14.3,DeMarre Carroll,14800000,BRK
13.2,Dante Cunningham,2300000,BRK
15.5,D'Angelo Russell,5562360,BRK
14.2,Caris LeVert,1632480,BRK
11.1,Allen Crabbe,19332500,BRK
14.6,Zach LaVine,3202217,CHI
14.7,Robin Lopez,13788500,CHI
4,Quincy Pondexter,3853931,CHI
5.2,Paul Zipser,1312611,CHI
13.9,Noah Vonleh,3505233,CHI
15.3,Lauri Markkanen,3821640,CHI
14.5,Kris Dunn,4046760,CHI
3.6,Kay Felder,1312611,CHI
10.9,Justin Holiday,4615385,CHI
14.5,Jerian Grant,1713840,CHI
-13.6,Jarell Eddie,83129,CHI
12.1,Denzel Valentine,2186400,CHI
12.8,David Nwaba,1312611,CHI
12.3,Cristiano Felicio,7843500,CHI
14,Cameron Payne,2203440,CHI
20,Bobby Portis,1516320,CHI
25,Willy Hernangomez,1435750,CHO
9,Treveon Graham,1312611,CHO
14.3,Nicolas Batum,22434783,CHO
12.6,Michael Kidd-Gilchrist,13000000,CHO
10.9,Michael Carter-Williams,2700000,CHO
13.3,Marvin Williams,13168750,CHO
8.5,Malik Monk,2904480,CHO
20.7,Kemba Walker,12000000,CHO
6.7,Julyan Stone,1524305,CHO
17,Jeremy Lamb,7000000,CHO
14,Frank Kaminsky,2847600,CHO
20.5,Dwight Howard,23500000,CHO
5.8,Dwayne Bacon,815615,CHO
16,Cody Zeller,12584270,CHO
13.7,Tristan Thompson,16400000,CLE
12.6,Rodney Hood,2386864,CLE
28.5,LeBron James,33285709,CLE
22,Larry Nance,1471382,CLE
13.5,Kyle Korver,7000000,CLE
22.4,Kevin Love,22642350,CLE
11.5,Jose Calderon,2328652,CLE
16,Jordan Clarkson,11562500,CLE
14.2,Jeff Green,2116955,CLE
8.5,J.R. Smith,13760000,CLE
12,George Hill,20000000,CLE
10.9,Cedi Osman,2642857,CLE
23.2,Ante Zizic,1645200,CLE
11.5,Yogi Ferrell,1312611,DAL
11.4,Wesley Matthews,17884176,DAL
-4.6,Scotty Hopson,74159,DAL
17.8,Salah Mejri,1471382,DAL
16.2,Nerlens Noel,4187599,DAL
12.9,Maxi Kleber,815615,DAL
9.8,Kyle Collinsworth,92160,DAL
-12.5,Josh McRoberts,6021175,DAL
8.3,Jeff Withey,1577320,DAL
22.6,Jameel Warney,46080,DAL
17.8,J.J. Barea,3903900,DAL
16,Harrison Barnes,23112004,DAL
7.4,Gian Clavell,50000,DAL
18.7,Dwight Powell,9003125,DAL
11.7,Doug McDermott,3294994,DAL
6.3,Dorian Finney-Smith,1312611,DAL
16.7,Dirk Nowitzki,5000000,DAL
12.8,Dennis Smith,3218280,DAL
5.1,Antonius Cleveland,50000,DAL
11.1,Wilson Chandler,12016854,DEN
15.9,Will Barton,3533333,DEN
0,Tyler Lydon,1579440,DEN
18,Trey Lyles,2441400,DEN
6.3,Richard Jefferson,2328652,DEN
18.2,Paul Millsap,31269231,DEN
24.4,Nikola Jokic,1471382,DEN
16.8,Mason Plumlee,14041096,DEN
8.8,Malik Beasley,1700640,DEN
17.4,Kenneth Faried,12921348,DEN
10,Juan Hernangomez,2076840,DEN
16.2,Jamal Murray,3355320,DEN
16.6,Gary Harris,2550055,DEN
11.6,Devin Harris,4402546,DEN
8.4,Darrell Arthur,7464912,DEN
9.1,Stanley Johnson,3097800,DET
15.5,Reggie Jackson,16000000,DET
13.6,Reggie Bullock,2500000,DET
11.6,Luke Kennard,2759280,DET
-15.5,Luis Montero,50000,DET
12.3,Langston Galloway,6666667,DET
8.9,Jon Leuer,10497319,DET
11.5,James Ennis,3028410,DET
2.6,Jameer Nelson,2262871,DET
15,Ish Smith,6000000,DET
7.7,Henry Ellenson,1780800,DET
13,Eric Moreland,1739333,DET
12.8,Dwight Buycks,748160,DET
18.5,Blake Griffin,29512900,DET
13.5,Anthony Tolliver,3290000,DET
23,Andre Drummond,23775506,DET
16.8,Zaza Pachulia,3477600,GSW
28.2,Stephen Curry,34682550,GSW
11.6,Shaun Livingston,7692308,GSW
7.4,Patrick McCaw,1312611,GSW
15.5,Omri Casspi,2106470,GSW
10.1,Nick Young,5192000,GSW
16.1,Klay Thompson,17826150,GSW
14.4,Kevon Looney,1471382,GSW
26.2,Kevin Durant,25000000,GSW
18.7,Jordan Bell,815615,GSW
21.8,JaVale McGee,2116955,GSW
16.4,Draymond Green,16400000,GSW
21.4,David West,2328652,GSW
10.7,Damian Jones,1312611,GSW
11.3,Andre Iguodala,14814815,GSW
0.6,Zhou Qi,815615,HOU
-2.4,Troy Williams,1471382,HOU
12.1,Trevor Ariza,7420912,HOU
14.9,Tarik Black,3290000,HOU
12.6,Ryan Anderson,19578455,HOU
8.4,P.J. Tucker,7590035,HOU
17,Nene Hilario,3477600,HOU
10.1,Luc Mbah a Moute,2116955,HOU
7.3,Joe Johnson,749905,HOU
30.2,James Harden,28299399,HOU
-7.3,Isaiah Canaan,53465,HOU
14,Gerald Green,947248,HOU
15.3,Eric Gordon,12943020,HOU
0.2,Demetrius Jackson,74159,HOU
24.6,Clint Capela,2334520,HOU
24.3,Chris Paul,24599495,HOU
11.1,Briante Weber,50000,HOU
5.4,Bobby Brown,1524305,HOU
23.1,Victor Oladipo,21000000,IND
0,Trey McKinney-Jones,46080,IND
14.7,Thaddeus Young,14796348,IND
10.5,T.J. Leaf,2028360,IND
17.6,Myles Turner,2569920,IND
12.4,Lance Stephenson,4180000,IND
10.2,Joe Young,1471382,IND
23.2,Ike Anigbogu,950000,IND
8.9,Glenn Robinson,1524305,IND
17.3,Domantas Sabonis,2550000,IND
18.9,Darren Collison,10000000,IND
4.9,Damien Wilkins,2116955,IND
11.2,Cory Joseph,7630000,IND
13.8,Bojan Bogdanovic,10500000,IND
8.5,Alex Poythress,778668,IND
19.9,Al Jefferson,9769821,IND
9.8,Wesley Johnson,5881260,LAC
18.4,Tobias Harris,16000000,LAC
8.1,Sindarius Thornwell,815615,LAC
10.5,Sean Kilpatrick,172238,LAC
11.1,Sam Dekker,1794600,LAC
12.3,Patrick Beverley,5513514,LAC
24.9,Montrezl Harrell,1471382,LAC
11.7,Milos Teodosic,6000000,LAC
20.5,Lou Williams,7000000,LAC
7.2,Jawun Evans,815615,LAC
11.4,Jamil Wilson,50000,LAC
20.2,DeAndre Jordan,22642350,LAC
13.9,Danilo Gallinari,20559599,LAC
30.3,Boban Marjanovic,7000000,LAC
9,Avery Bradley,8808989,LAC
12.9,Austin Rivers,11825000,LAC
-1.8,Vander Blue,50000,LAL
10.4,Tyler Ennis,1524305,LAL
9.8,Travis Wear,148318,LAL
7.7,Thomas Bryant,815615,LAL
9.8,Nigel Hayes,46080,LAL
5.5,Luol Deng,17190000,LAL
12.5,Lonzo Ball,6286560,LAL
14.4,Kyle Kuzma,1423560,LAL
13.5,Kentavious Caldwell-Pope,17745894,LAL
19.8,Julius Randle,4149242,LAL
11.2,Josh Hart,1394520,LAL
15.6,Ivica Zubac,1312611,LAL
12.8,Isaiah Thomas,6261395,LAL
-3.2,Derrick Williams,104059,LAL
8.9,Corey Brewer,7579366,LAL
15.5,Channing Frye,7420912,LAL
16.6,Brook Lopez,22642350,LAL
13.9,Brandon Ingram,5519400,LAL
10.9,Andrew Bogut,2328652,LAL
0.9,Xavier Rathan-Mayes,46080,MEM
11.8,Wayne Selden,1312611,MEM
35.9,Vince Hunter,50000,MEM
21.2,Tyreke Evans,3290000,MEM
15.5,Mike Conley,28530608,MEM
10.1,Mario Chalmers,2106407,MEM
17.3,Marc Gasol,22642350,MEM
10.5,Jarell Martin,1471382,MEM
14,JaMychal Green,8533333,MEM
15.6,Ivan Rabb,950000,MEM
9.1,Dillon Brooks,815615,MEM
16.7,Deyonta Davis,1312611,MEM
13.7,Chandler Parsons,23112004,MEM
16.2,Brice Johnson,1331160,MEM
9.2,Briante Weber,83129,MEM
19.4,Brandan Wright,5179760,MEM
9.2,Ben McLemore,5200000,MEM
12.7,Andrew Harrison,1312611,MEM
12.1,Wayne Ellington,6270000,MIA
1.8,Udonis Haslem,2328652,MIA
13,Tyler Johnson,5881260,MIA
12.4,Rodney McGruder,1312611,MIA
-0.7,Matt Williams,50000,MIA
2.5,Luke Babbitt,1974159,MIA
18,Kelly Olynyk,10607169,MIA
11.5,Justise Winslow,2705040,MIA
13.7,Josh Richardson,1471382,MIA
10.6,Jordan Mickey,1471382,MIA
15.9,James Johnson,13954000,MIA
24.1,Hassan Whiteside,23775506,MIA
16.8,Goran Dragic,17000450,MIA
14.4,Dwyane Wade,2328652,MIA
10.5,Dion Waiters,11000000,MIA
15.6,Bam Adebayo,2490360,MIA
17,Tyler Zeller,1709538,MIL
8.4,Tony Snell,9821429,MIL
10.5,Thon Maker,2684160,MIL
9.5,Sterling Brown,815615,MIL
11.3,Sean Kilpatrick,789725,MIL
13.5,Mirza Teletovic,10500000,MIL
8.7,Matthew Dellavedova,9607500,MIL
14.3,Malcolm Brogdon,1312611,MIL
17.4,Khris Middleton,14100000,MIL
15.8,John Henson,11422536,MIL
11.7,Joel Bolomboy,22248,MIL
8,Jason Terry,2328652,MIL
17.3,Jabari Parker,6782392,MIL
27.7,Giannis Antetokounmpo,22471910,MIL
7.6,Gary Payton,50000,MIL
19.6,Eric Bledsoe,14500000,MIL
5,DeAndre Liggins,1577230,MIL
9.1,D.J. Wilson,2135040,MIL
14,Brandon Jennings,119010,MIL
14.1,Tyus Jones,1471382,MIN
15.4,Taj Gibson,14000000,MIN
9.3,Shabazz Muhammad,1577230,MIN
12.9,Nemanja Bjelica,3949999,MIN
6.3,Marcus Georges-Hunt,1312611,MIN
24.8,Karl-Anthony Towns,6216840,MIN
19.8,Justin Patton,2247480,MIN
23.5,Jimmy Butler,19301070,MIN
16.1,Jeff Teague,19000000,MIN
13.5,Jamal Crawford,4328000,MIN
14.2,Gorgui Dieng,14112360,MIN
5.2,Cole Aldrich,7300000,MIN
13.2,Andrew Wiggins,7574322,MIN
10.1,Aaron Brooks,2116955,MIN
6.8,Solomon Hill,12236535,NOP
14.9,Rajon Rondo,3300000,NOP
14.1,Nikola Mirotic,12500000,NOP
6.3,Larry Drew,74159,NOP
17.4,Jrue Holiday,25686667,NOP
3.5,Josh Smith,2183934,NOP
15.7,Jordan Crawford,250000,NOP
9.1,Ian Clark,1577230,NOP
11.9,E'Twaun Moore,8445024,NOP
16.3,Emeka Okafor,239204,NOP
22.7,DeMarcus Cousins,18063850,NOP
8.7,DeAndre Liggins,172238,NOP
9.4,Darius Miller,2100000,NOP
17.4,Cheick Diallo,1312611,NOP
