team,win,lose,salary,team_fullname
ATL,24,58,80997929,Atlanta Hawks
BRK,28,54,90489772,Brooklyn Nets
BOS,55,27,114917104,Boston Celtics
CHO,36,46,117228164,Charlotte Hornets
CHI,27,55,56318128,Chicago Bulls
CLE,50,32,137242469,Cleveland Cavaliers
DAL,24,58,82427191,Dallas Maverick
DEN,46,36,103153049,Denver Nuggets
DET,39,43,113709046,Detroit Pistons
GSW,58,24,136549719,Golden State Warriors
HOU,65,17,117336470,Houston Rockets
IND,48,34,91911839,Indiana Pacers
LAC,42,40,116350162,Los Angeles Clippers
LAL,35,47,103942839,Los Angeles Lakers
MEM,22,60,107279661,Memphis Grizzlies
MIA,44,38,104620623,Miami Heat
MIL,44,38,112749596,Milwaukee Bucks
MIN,47,35,104508249,Minnesota Timberwolves
NOP,48,34,111916958,New Orleans Pelicans
NYK,29,53,104868489,New York Knicks
OKC,48,34,131851601,Oklahoma City Thunder
ORL,25,57,96592620,Orlando Magic
PHI,52,30,99294278,Philadelphia Sixers
PHO,21,61,80699583,Phoenix Suns
POR,49,33,113824055,Portland Blazers
SAS,47,35,113237104,San Antonio Spurs
SAC,27,55,67775287,Sacramento Kings
TOR,59,23,115428796,Toronto Raptors
UTA,48,34,103935448,Utah Jazz
WAS,43,39,123108940,Washington Wizards
